Age_22_to_29_0.0 Age_22_to_29_1.0 Age_30_to_44_0.0 Age_30_to_44_1.0 Age_45_to_59_0.0 Age_45_to_59_1.0 Age_geq_60_0.0 Age_geq_60_1.0 Age_leq_21_0.0 Age_leq_21_1.0 AnyCapitalGains_0.0 AnyCapitalGains_1.0 AnyCapitalLoss_0.0 AnyCapitalLoss_1.0 Bachelors_0.0 Bachelors_1.0 Black_0.0 Black_1.0 DivorcedOrSeparated_0.0 DivorcedOrSeparated_1.0 EmployedInPrivateSector_0.0 EmployedInPrivateSector_1.0 EmployedInPublicSector_0.0 EmployedInPublicSector_1.0 Female_0.0 Female_1.0 Graduate_0.0 Graduate_1.0 HSDiploma_0.0 HSDiploma_1.0 JobAdministrative_0.0 JobAdministrative_1.0 JobAgriculture_0.0 JobAgriculture_1.0 JobArmedForces_0.0 JobArmedForces_1.0 JobManagerial_0.0 JobManagerial_1.0 JobService_0.0 JobService_1.0 JobSkilledSpecialty_0.0 JobSkilledSpecialty_1.0 Male_0.0 Male_1.0 Married_0.0 Married_1.0 NativeImmigrant_0.0 NativeImmigrant_1.0 NativeUSorCanada_0.0 NativeUSorCanada_1.0 NeverMarried_0.0 NeverMarried_1.0 NoHS_0.0 NoHS_1.0 OtherRace_0.0 OtherRace_1.0 ProfVocOrAS_0.0 ProfVocOrAS_1.0 SelfEmployedInc_0.0 SelfEmployedInc_1.0 SelfEmployedNotInc_0.0 SelfEmployedNotInc_1.0 White_0.0 White_1.0 Widowed_0.0 Widowed_1.0 WorkHrsPerWeek_40_to_50_0.0 WorkHrsPerWeek_40_to_50_1.0 WorkHrsPerWeek_geq_50_0.0 WorkHrsPerWeek_geq_50_1.0 WorkHrsPerWeek_lt_40_0.0 WorkHrsPerWeek_lt_40_1.0
1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0
1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0
1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0
0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0
1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0
1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0
1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 1 0
1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0
1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0
0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1
